parkName,species,treeCount
El Retiro Park,Aesculus hippocastanum,5715
El Retiro Park,Platanus × hispanica,971
El Retiro Park,Cercis siliquastrum,692
El Retiro Park,Celtis australis,588
El Retiro Park,Cupressus sempervirens,537
El Retiro Park,Gleditsia triacanthos,508
El Retiro Park,Ulmus minor,429
El Retiro Park,Styphnolobium japonicum,392
El Retiro Park,Pinus pinea,346
El Retiro Park,Ulmus pumila,328
El Retiro Park,Acer campestre,321
El Retiro Park,Otros,5498
Parque del Oeste,Pinus pinea,938
Parque del Oeste,Styphnolobium japonicum,797
Parque del Oeste,Platanus × hispanica,556
Parque del Oeste,Ligustrum japonicum,395
Parque del Oeste,Populus alba 'Bolleana',390
Parque del Oeste,Cedrus deodara,346
Parque del Oeste,Celtis australis,296
Parque del Oeste,Prunus cerasifera  subsp. pissardii,294
Parque del Oeste,Cedrus atlantica,240
Parque del Oeste,Populus nigra,225
Parque del Oeste,Otros,2553
JARDÍN DE LA QUINTA DE LOS MOLINOS,Prunus dulcis Marcona,1079
JARDÍN DE LA QUINTA DE LOS MOLINOS,Pinus halepensis,1056
JARDÍN DE LA QUINTA DE LOS MOLINOS,Cupressus sempervirens,606
JARDÍN DE LA QUINTA DE LOS MOLINOS,"Prunus dulcis ""Desmayo Largueta""",389
JARDÍN DE LA QUINTA DE LOS MOLINOS,Pinus pinea,334
JARDÍN DE LA QUINTA DE LOS MOLINOS,Eucalyptus sp,302
JARDÍN DE LA QUINTA DE LOS MOLINOS,Cedrus deodara,243
JARDÍN DE LA QUINTA DE LOS MOLINOS,Platanus × hispanica,239
JARDÍN DE LA QUINTA DE LOS MOLINOS,Prunus dulcis,226
JARDÍN DE LA QUINTA DE LOS MOLINOS,Ulmus sp,221
JARDÍN DE LA QUINTA DE LOS MOLINOS,Gleditsia triacanthos,207
JARDÍN DE LA QUINTA DE LOS MOLINOS,Otros,1766
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Ligustrum lucidum,294
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Cupressus sempervirens,132
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Aesculus hippocastanum,77
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Prunus cerasifera  subsp. pissardii,62
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Cedrus deodara,54
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Acacia dealbata,47
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Populus alba 'Bolleana',29
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Trachycarpus fortunei,28
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Platanus × hispanica,26
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Celtis australis,25
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,Otros,330
El Capricho Park,Cercis siliquastrum,760
El Capricho Park,Cupressus sempervirens,349
El Capricho Park,Gleditsia triacanthos,208
El Capricho Park,Pinus pinea,189
El Capricho Park,Fraxinus angustifolia,179
El Capricho Park,Platanus × hispanica,139
El Capricho Park,Quercus robur,135
El Capricho Park,Acer campestre,123
El Capricho Park,Robinia pseudoacacia,99
El Capricho Park,Aesculus hippocastanum,77
El Capricho Park,Otros,1232
Sabatini Gardens,Cupressus sempervirens,85
Sabatini Gardens,Pinus pinea,50
Sabatini Gardens,Acer negundo,26
Sabatini Gardens,Cedrus deodara,21
Sabatini Gardens,Magnolia grandiflora,16
Sabatini Gardens,Abies nordmanniana,8
Sabatini Gardens,Thuja occidentalis,5
Sabatini Gardens,Acer pseudoplatanus,3
Sabatini Gardens,Cercis siliquastrum,1
Sabatini Gardens,Populus alba 'Bolleana',1
Sabatini Gardens,Ulmus minor,1
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Platanus × hispanica,126
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Ligustrum japonicum,38
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Cupressus sempervirens,31
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Taxus baccata,28
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Magnolia grandiflora,9
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Cedrus deodara,8
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Cupressus macrocarpa,6
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,Pinus halepensis,1
Dehesa de la Villa Park,Pinus pinea,4769
Dehesa de la Villa Park,Pinus halepensis,691
Dehesa de la Villa Park,Prunus dulcis,930
Dehesa de la Villa Park,Ulmus pumila,362
